id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
639,0.675,0.603,7,-6.985,1,0.0413,0.0754,0.319,0.165,0.169,79.003,4
641,0.868,0.478,8,-9.893,0,0.0474,0.552,0.31,0.103,0.555,108.995,4
645,0.796,0.547,2,-8.011,0,0.0306,0.57,0.94,0.104,0.484,103.988,4
647,0.687,0.658,10,-9.421,1,0.0354,0.00934,0.864,0.299,0.358,106.986,4
785,0.621,0.885,1,-6.826,1,0.0473,0.0418,0.492,0.133,0.554,109.728,4
945,0.376,0.822,0,-3.974,1,0.104,0.0783,0,0.0841,0.327,120.493,4
949,0.829,0.965,7,-11.498,0,0.0598,0.227,0.000122,0.466,0.729,127.999,4
951,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,4
953,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,4
955,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4
957,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5
959,0.545,0.712,1,-5.735,1,0.0979,0.000445,0.433,0.411,0.355,140.186,4
961,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4
963,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,4
965,0.641,0.943,10,-2.712,1,0.0802,0.456,0.00082,0.227,0.333,129.99,4
971,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4
973,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4
979,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
981,0.612,0.921,7,-2.882,1,0.085,0.0183,0,0.0576,0.446,139.988,4
989,0.491,0.771,9,-5.037,1,0.041,0.00149,0.000262,0.232,0.242,103.005,4
991,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,4
993,0.71,0.756,4,-5.701,0,0.0427,0.000971,0.914,0.0996,0.716,135.0,4
995,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
999,0.664,0.307,0,-10.14,1,0.0325,0.869,0.458,0.107,0.193,128.029,4
1001,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,4
1003,0.416,0.459,9,-6.814,0,0.0317,0.0801,0.00653,0.0551,0.286,164.929,3
1009,0.647,0.687,7,-5.274,0,0.121,0.06,0,0.495,0.494,110.14,4
1013,0.773,0.75,8,-4.009,0,0.117,0.109,0,0.174,0.783,123.426,4
1015,0.495,0.762,8,-3.842,1,0.0862,0.591,0,0.0763,0.708,123.893,4
1017,0.617,0.567,0,-4.188,1,0.0828,0.0584,0,0.0933,0.505,90.246,4
1019,0.676,0.728,6,-5.941,1,0.0706,0.00688,0,0.0843,0.642,89.951,4
1027,0.636,0.533,0,-6.539,1,0.0984,0.12,0,0.371,0.45,99.858,4
1029,0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3
1031,0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965,4
1037,0.515,0.998,9,-2.913,1,0.0894,0.000638,0.873,0.329,0.0806,128.997,4
1039,0.787,0.883,6,-6.069,1,0.0796,0.00138,0.805,0.0989,0.582,119.899,4
1043,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,4
1049,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,4
1051,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,4
1053,0.778,0.737,7,-7.861,1,0.251,0.00031,0,0.276,0.582,99.078,4
1055,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,4
1057,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,4
1065,0.323,0.558,5,-5.292,0,0.337,0.459,2.81e-06,0.676,0.199,73.552,4
1067,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,4
1071,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,4
1075,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4
1077,0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,4
1079,0.512,0.76,2,-5.889,0,0.0682,0.299,0,0.103,0.495,130.096,4
1083,0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
1085,0.67,0.643,5,-4.553,1,0.0465,0.118,0,0.192,0.703,123.979,4
1087,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,4
1089,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,4
1091,0.554,0.848,5,-4.075,0,0.0745,0.00237,0,0.185,0.286,144.996,4
1103,0.61,0.744,7,-6.219,0,0.0357,0.15,1.58e-06,0.115,0.457,126.976,4
1129,0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,4
1131,0.818,0.804,1,-4.282,1,0.0798,0.034,0,0.154,0.634,106.969,4
1133,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,4
1139,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
1141,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,4
1143,0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,4
1151,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4
1153,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4
1155,0.612,0.657,11,-6.971,0,0.0454,0.103,0.124,0.131,0.767,87.94,4
1163,0.852,0.59,10,-9.661,1,0.066,0.0383,0.631,0.0992,0.167,112.998,4
1175,0.639,0.912,1,-2.621,1,0.0615,0.00107,0,0.097,0.343,143.448,4
1177,0.779,0.541,2,-8.5,1,0.0529,0.0172,0.934,0.0945,0.059,104.991,4
1179,0.543,0.859,6,-3.592,1,0.0371,0.028,0,0.235,0.736,138.947,4
1487,0.763,0.883,5,-9.077,0,0.0335,0.0449,0.84,0.168,0.932,150.039,4
1491,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,4
1587,0.532,0.977,10,-2.761,0,0.0353,0.0208,0,0.151,0.966,116.527,4
1589,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,4
1593,0.675,0.751,0,-3.539,1,0.0296,0.0604,0,0.0893,0.612,118.384,4
1625,0.535,0.672,3,-4.417,0,0.0699,0.0275,0,0.327,0.521,110.048,4
1627,0.564,0.647,10,-6.759,0,0.0407,0.114,0,0.17,0.458,95.923,4
1631,0.471,0.509,0,-10.9,0,0.0367,0.678,0.936,0.175,0.0595,131.996,4
1633,0.863,0.781,5,-8.546,0,0.0785,0.0394,0.000292,0.125,0.764,122.938,4
1641,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,4
1643,0.671,0.537,8,-8.745,1,0.0358,0.0508,0.0259,0.19,0.273,104.007,4
1645,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,4
1647,0.71,0.0565,7,-15.099,1,0.0534,0.965,0,0.0889,0.348,123.994,4
1651,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
1655,0.696,0.524,0,-9.094,0,0.0657,0.374,8.14e-05,0.467,0.315,126.067,4
1657,0.718,0.422,4,-9.115,0,0.0621,0.0764,0,0.17,0.455,144.678,4
1659,0.707,0.759,11,-12.328,0,0.046,0.0769,2.84e-05,0.0775,0.955,115.142,4
1663,0.564,0.599,4,-10.32,1,0.265,0.0119,0.000201,0.0869,0.609,128.003,4
1667,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,4
1669,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,4
1671,0.397,0.446,7,-7.032,1,0.0373,0.49,0.00892,0.111,0.214,178.05,4
1673,0.661,0.642,5,-5.67,1,0.0259,0.0248,0.00564,0.935,0.233,131.992,4
1675,0.538,0.787,11,-4.418,0,0.0655,0.0689,2.89e-06,0.0805,0.42,79.887,4
1677,0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4
1679,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,4
1681,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4
1761,0.597,0.919,7,-2.954,1,0.0439,0.000145,0,0.282,0.729,113.991,4
1763,0.704,0.611,2,-6.112,1,0.0409,0.217,0,0.0812,0.22,100.0,4
1765,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,4
1767,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,4
1769,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
1771,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
1773,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4
1775,0.645,0.585,6,-6.122,1,0.0513,0.00314,0,0.165,0.353,131.931,4
1777,0.652,0.643,9,-5.667,0,0.0353,0.318,2.87e-06,0.208,0.109,104.932,4
1779,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,4
1781,0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,4
1783,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,4
1785,0.589,0.91,1,-4.206,0,0.0623,0.00366,4.87e-05,0.0843,0.394,130.017,4
1787,0.604,0.36,0,-10.109,0,0.0253,0.868,0.0343,0.112,0.37,103.985,4
1789,0.764,0.567,0,-8.585,1,0.0609,0.0126,9.51e-05,0.257,0.428,89.988,4
1791,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,4
1793,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,4
1795,0.668,0.798,11,-5.701,1,0.0334,0.00305,0.0144,0.277,0.575,133.928,4
1797,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,4
1799,0.58,0.174,2,-21.417,1,0.0411,0.989,0.87,0.125,0.404,143.996,4
1801,0.416,0.649,11,-5.271,0,0.0385,0.655,2.82e-06,0.12,0.474,112.482,3
1803,0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,4
1805,0.749,0.794,0,-5.063,1,0.064,0.0193,0,0.543,0.46,135.959,4
1809,0.655,0.623,11,-6.302,0,0.116,0.0861,0.000346,0.0652,0.615,175.973,4
1813,0.628,0.298,11,-9.539,1,0.0713,0.732,0,0.116,0.166,63.762,4
1817,0.689,0.491,9,-6.042,1,0.0317,0.711,0,0.172,0.868,90.011,4
1819,0.667,0.773,5,-4.983,0,0.0586,0.201,0,0.404,0.667,89.976,4
1823,0.537,0.916,8,-5.644,1,0.0941,0.0138,0,0.359,0.658,117.979,4
1825,0.879,0.418,7,-8.474,1,0.155,0.00269,0.012,0.235,0.31,126.007,4
1829,0.678,0.395,9,-8.639,0,0.12,0.411,0.00544,0.122,0.136,170.065,4
1831,0.514,0.95,4,-3.807,0,0.0298,0.00575,0.00238,0.134,0.665,137.975,4
1835,0.732,0.668,1,-5.588,0,0.038,0.00113,2.5e-05,0.0775,0.0792,127.995,4
1837,0.708,0.276,0,-11.509,0,0.0309,0.747,0.254,0.103,0.381,139.994,4
1839,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
1841,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,4
1859,0.351,0.729,8,-5.179,1,0.0908,0.0722,4.33e-06,0.0567,0.165,129.967,4
1861,0.454,0.66,0,-4.357,1,0.168,0.0364,0,0.181,0.568,184.353,4
1865,0.592,0.664,9,-8.384,1,0.0891,0.0552,0.0554,0.112,0.119,95.001,4
1867,0.64,0.416,11,-12.383,1,0.0348,0.408,0.00136,0.103,0.306,124.934,4
1897,0.323,0.796,0,-3.266,0,0.0337,0.178,0,0.14,0.355,103.851,4
1901,0.768,0.873,1,-3.922,0,0.0648,0.0612,1.69e-06,0.0615,0.771,119.984,4
1919,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,4
1945,0.561,0.671,7,-5.582,1,0.0338,0.0154,0,0.171,0.278,124.06,4
1947,0.75,0.884,2,-7.428,1,0.193,0.0142,0.199,0.596,0.642,124.068,4
1951,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
1953,0.735,0.934,0,-5.414,0,0.0484,0.0318,0.000333,0.212,0.792,126.023,4
1955,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,4
1961,0.672,0.882,0,-4.569,1,0.0338,0.00399,0.00357,0.377,0.707,128.046,4
1967,0.354,0.746,8,-7.175,1,0.108,0.0562,6.44e-05,0.155,0.635,79.21,4
1977,0.683,0.947,8,-1.717,0,0.064,0.00632,7.34e-05,0.123,0.67,100.024,4
1979,0.615,0.908,0,-2.478,0,0.0555,0.112,1.82e-06,0.106,0.251,127.994,4
1993,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4
